step,straight_sortedCarList,straight_sortedCarList_hat,straight_queueLength,straight_queueLength_hat,straight_totalWaitingTime,straight_totalWaitingTime_hat,straight_avgSpeed,straight_avgSpeed_hat,straight_avgGapSpace,straight_avgGapSpace_hat,right_sortedCarList,right_sortedCarList_hat,right_queueLength,right_queueLength_hat,right_totalWaitingTime,right_totalWaitingTime_hat,right_avgSpeed,right_avgSpeed_hat,right_avgGapSpace,right_avgGapSpace_hat
121.0,6,0,24.505523034282916,0,178.0,0,1.2115502037637278,0,9.875257744205287,0,3,0,9.504376252325201,0,73.0,0,0.004470000744945846,0,3.751188126162596,0
122.0,6,0,25.50652303428292,0,184.0,0,0.0,0,9.875257744205287,0,3,0,9.503239146927896,0,76.0,0,0.0005685526986496653,0,3.7506195734639434,0
123.0,8,0,25.50639995394117,0,190.0,0,18.649661876945334,0,56.563697287208505,0,3,0,9.503239146927896,0,79.0,0,0.0,0,3.7506195734639434,0
124.0,8,0,25.50629119503651,0,128.0,0,21.710122084761597,0,90.25753236384335,0,3,0,9.503040548907492,0,82.0,0,9.929901020069737e-05,0,3.7505202744537414,0
125.0,8,0,25.48122813587007,0,36.0,0,22.66843737537303,0,79.05418391832237,0,3,0,9.503040548907492,0,85.0,0,0.0,0,3.7505202744537414,0
126.0,7,0,1.0010000000000048,0,5.0,0,25.466762678442734,0,69.87508283492025,0,3,0,9.503040548907492,0,88.0,0,0.0,0,3.7505202744537414,0
127.0,6,0,1.0010000000000048,0,6.0,0,26.878461947016532,0,54.36006881357404,0,4,0,9.503040548907492,0,91.0,0,10.914917444088882,0,3.7505202744537414,0
128.0,6,0,1.0010000000000048,0,7.0,0,26.769360726877476,0,45.63896729773688,0,4,0,9.503040548907492,0,94.0,0,14.03090752100145,0,3.7505202744537414,0
129.0,5,0,1.0010000000000048,0,8.0,0,30.92363651444623,0,12.975913375503296,0,4,0,9.503040548907492,0,97.0,0,13.038689883403164,0,3.7505202744537414,0
130.0,4,0,1.0010000000000048,0,9.0,0,23.641034624917644,0,9.96612311497126,0,4,0,9.503040548907492,0,100.0,0,14.019366238592808,0,3.7505202744537414,0
131.0,4,0,1.0010000000000048,0,10.0,0,19.09490061100997,0,8.034395650884477,0,4,0,9.503040548907492,0,103.0,0,12.517419208982643,0,3.7505202744537414,0
132.0,4,0,1.0010000000000048,0,11.0,0,15.148141587313892,0,6.892772577853947,0,4,0,9.503040548907492,0,106.0,0,11.351806992819935,0,3.7505202744537414,0
133.0,4,0,1.0010000000000048,0,12.0,0,11.500258748819054,0,6.066458574751891,0,4,0,9.503040548907492,0,109.0,0,10.130102875813044,0,3.7505202744537414,0
134.0,4,0,2.0020000000000095,0,14.0,0,8.639481209624194,0,5.99861506572482,0,4,0,9.503040548907492,0,112.0,0,8.226866652806656,0,3.7505202744537414,0
135.0,3,0,2.0020000000000095,0,16.0,0,0.2386748997641408,0,5.759940165960678,0,5,0,9.503040548907492,0,115.0,0,11.639921036066047,0,53.40148259776891,0
136.0,3,0,2.0020000000000095,0,18.0,0,1.1927907554215296,0,4.567149410539152,0,6,0,9.503040548907492,0,118.0,0,15.877155736161349,0,86.98338168432728,0
137.0,4,0,2.0020000000000095,0,20.0,0,8.76764241632402,0,4.454382271169557,0,6,0,9.503040548907492,0,121.0,0,12.479333546158964,0,74.78034475688946,0
138.0,4,0,2.0020000000000095,0,22.0,0,9.603364445837244,0,3.819046911386195,0,6,0,9.503040548907492,0,124.0,0,11.175466775683986,0,62.0798764047704,0
139.0,5,0,9.564758197728324,0,25.0,0,15.385968911438752,0,42.79507092454701,0,6,0,10.794539536233941,0,128.0,0,9.931867646718445,0,50.43541393662092,0
140.0,5,0,9.503300697605368,0,28.0,0,13.568101938460057,0,36.351973173236516,0,6,0,9.503040548907492,0,130.0,0,9.662898582257093,0,39.38923685218309,0
141.0,6,0,9.503300697605368,0,31.0,0,17.223575004005973,0,82.31801169253504,0,6,0,10.602311459045794,0,134.0,0,7.806712652286931,0,30.497024201336465,0
142.0,6,0,9.503300697605368,0,34.0,0,18.781977475170535,0,70.79744515680127,0,6,0,10.540047633892286,0,138.0,0,6.265052835940661,0,23.32968601382018,0
143.0,6,0,9.503102378222437,0,37.0,0,20.797044489837628,0,59.35212507609114,0,6,0,10.538111634880892,0,142.0,0,5.254206738134618,0,17.37924888834022,0
144.0,6,0,9.503102378222437,0,40.0,0,17.6094768237179,0,49.21551847342667,0,6,0,10.521069075227828,0,146.0,0,3.4504687305009076,0,13.559828451640907,0
145.0,6,0,9.503102378222437,0,43.0,0,17.93642117531388,0,40.052950902785255,0,6,0,10.519828505873718,0,150.0,0,2.359665306676704,0,11.03730131818829,0
146.0,6,0,9.503102378222437,0,46.0,0,15.963376627017665,0,31.967600606829272,0,6,0,18.0237883299733,0,155.0,0,0.7508211188924235,0,10.288135730093916,0
147.0,6,0,9.503102378222437,0,49.0,0,18.33779862546853,0,24.440241793864985,0,6,0,18.01406242102702,0,160.0,0,0.36232615374723354,0,9.93461172318788,0
148.0,6,0,9.503102378222437,0,52.0,0,7.771426821779825,0,53.94395116977919,0,6,0,25.605394909858404,0,166.0,0,0.014635965082130864,0,9.924045947903771,0
149.0,6,0,9.503102378222437,0,55.0,0,6.211213284000627,0,46.227173602583726,0,6,0,25.583149652812068,0,172.0,0,0.011122349005392808,0,9.913108556854691,0
150.0,6,0,9.503102378222437,0,58.0,0,5.461762129090781,0,38.84973254360101,0,6,0,25.52286156601437,0,178.0,0,0.030231455330000292,0,9.883051925387004,0
151.0,6,0,9.503102378222437,0,61.0,0,4.498152191847296,0,32.416441351379326,0,6,0,25.522573340785016,0,54.0,0,0.44049909153482847,0,10.394991123984152,0
152.0,6,0,17.02848324120332,0,65.0,0,3.4426874451017047,0,26.927857579392306,0,4,0,25.48366575406132,0,24.0,0,0.10297787619169166,0,3.8154434414655185,0
153.0,6,0,17.01360208218989,0,69.0,0,3.1007872405354204,0,22.074729591693348,0,4,0,1.0010507164856364,0,13.0,0,2.9222224319061905,0,4.9074054113305365,0
154.0,6,0,24.57322678754366,0,74.0,0,2.112646334219331,0,18.64277684260891,0,4,0,1.0010507164856364,0,14.0,0,2.187682219833439,0,4.656243887391348,0
155.0,6,0,24.544899243493575,0,79.0,0,1.5286331829273685,0,16.213856474388464,0,4,0,1.0010507164856364,0,15.0,0,5.384594934464994,0,5.748923804112081,0
156.0,6,0,24.538756191341548,0,84.0,0,0.9844113883586488,0,14.69730737480924,0,2,0,1.0010507164856364,0,16.0,0,0.36767330452172686,0,0.0,0
157.0,6,0,24.527761953389984,0,89.0,0,0.43678458337782655,0,14.045108464486898,0,2,0,1.0010507164856364,0,17.0,0,3.850631977904836,0,0.0,0
158.0,6,0,24.51285704144628,0,94.0,0,0.29636076853911963,0,13.612368650561297,0,3,0,1.0010507164856364,0,18.0,0,17.089755681278415,0,0.0,0
159.0,6,0,24.510478980840304,0,99.0,0,0.20716735465251077,0,13.312384449531983,0,2,0,1.0010507164856364,0,19.0,0,13.87206415654338,0,0.0,0
160.0,7,0,24.506834939213704,0,104.0,0,2.4851241618152926,0,39.35788401832819,0,2,0,1.0010507164856364,0,20.0,0,13.457935557204216,0,0.0,0
161.0,8,0,34.20485265956198,0,110.0,0,5.91913531785329,0,75.77217144198666,0,2,0,1.0010507164856364,0,21.0,0,13.236003187104977,0,0.0,0
162.0,9,0,24.50556310091315,0,114.0,0,19.639743568889788,0,65.76424006519049,0,2,0,1.0010507164856364,0,22.0,0,13.619664406489498,0,0.0,0
163.0,9,0,24.50542916697053,0,119.0,0,17.681211809583075,0,55.188798439932015,0,2,0,1.0010507164856364,0,23.0,0,11.419664406489499,0,0.0,0
164.0,9,0,32.02562229615393,0,125.0,0,18.376572355832515,0,46.54296460807526,0,4,0,1.0010507164856364,0,24.0,0,31.7111741283615,0,48.26920357723664,0
